from_id,to_id,mode,intra_or_inter,reason,distance_km,time_base_min,time_min,cost_base_rs,cost_rs,region_from,region_to
MKL_Metro,NEM_Metro,metro,intra,Red_Line,1.0655910188501934,3.918063833930348,5.485289367502487,10.0,10.0,R2,R2
NEM_Metro,MKL_Metro,metro,intra,Red_Line,1.0655910188501934,3.918063833930348,5.485289367502487,10.0,10.0,R2,R2
NEM_Metro,MSB_Metro,metro,intra,Red_Line,0.9674795750771532,3.741463235138876,5.238048529194426,10.0,10.0,R2,R2
MSB_Metro,NEM_Metro,metro,intra,Red_Line,0.9674795750771532,3.741463235138876,5.238048529194426,10.0,10.0,R2,R2
MSB_Metro,DSN_Metro,metro,intra,Red_Line,1.4532110715708224,4.615779928827481,5.538935914592977,10.0,10.0,R2,R7
DSN_Metro,MSB_Metro,metro,intra,Red_Line,1.4532110715708224,4.615779928827481,5.538935914592977,10.0,10.0,R2,R7
DSN_Metro,CHP_Metro,metro,intra,Red_Line,1.3534190517368636,4.4361542931263545,4.4361542931263545,10.0,10.0,R7,R7
CHP_Metro,DSN_Metro,metro,intra,Red_Line,1.3534190517368636,4.4361542931263545,4.4361542931263545,10.0,10.0,R7,R7
CHP_Metro,VOM_Metro,metro,intra,Red_Line,0.934016612971166,3.681229903348098,3.681229903348098,10.0,10.0,R7,R7
VOM_Metro,CHP_Metro,metro,intra,Red_Line,0.934016612971166,3.681229903348098,3.681229903348098,10.0,10.0,R7,R7
VOM_Metro,LBN_Metro,metro,intra,Red_Line,1.400683980478715,4.521231164861687,4.521231164861687,10.0,10.0,R7,R7
LBN_Metro,VOM_Metro,metro,intra,Red_Line,1.400683980478715,4.521231164861687,4.521231164861687,10.0,10.0,R7,R7
RDG_Metro,HTC_Metro,metro,intra,Blue_Line,1.0015099888120664,3.80271797986172,4.563261575834064,10.0,10.0,R4,R4
HTC_Metro,RDG_Metro,metro,intra,Blue_Line,1.0015099888120664,3.80271797986172,4.563261575834064,10.0,10.0,R4,R4
HTC_Metro,DGC_Metro,metro,intra,Blue_Line,0.8216959879931968,3.4790527783877545,4.174863334065305,10.0,10.0,R4,R4
DGC_Metro,HTC_Metro,metro,intra,Blue_Line,0.8216959879931968,3.4790527783877545,4.174863334065305,10.0,10.0,R4,R4
DGC_Metro,MAD_Metro,metro,intra,Blue_Line,1.5028597970747228,4.705147634734502,5.646177161681401,10.0,10.0,R4,R4
MAD_Metro,DGC_Metro,metro,intra,Blue_Line,1.5028597970747228,4.705147634734502,5.646177161681401,10.0,10.0,R4,R4
MAD_Metro,PED_Metro,metro,intra,Blue_Line,1.1186135639681885,4.013504415142739,4.816205298171287,10.0,10.0,R4,R4
PED_Metro,MAD_Metro,metro,intra,Blue_Line,1.1186135639681885,4.013504415142739,4.816205298171287,10.0,10.0,R4,R4
PED_Metro,JCP_Metro,metro,intra,Blue_Line,0.6290542156734542,3.132297588212218,3.758757105854661,10.0,10.0,R4,R4
JCP_Metro,PED_Metro,metro,intra,Blue_Line,0.6290542156734542,3.132297588212218,3.758757105854661,10.0,10.0,R4,R4
JCP_Metro,JR5_Metro,metro,intra,Blue_Line,1.0278867075424174,3.850196073576352,4.620235288291622,10.0,10.0,R4,R4
JR5_Metro,JCP_Metro,metro,intra,Blue_Line,1.0278867075424174,3.850196073576352,4.620235288291622,10.0,10.0,R4,R4
JR5_Metro,YUG_Metro,metro,intra,Blue_Line,0.7125014114221855,3.2825025405599337,3.93900304867192,10.0,10.0,R4,R4
YUG_Metro,JR5_Metro,metro,intra,Blue_Line,0.7125014114221855,3.2825025405599337,3.93900304867192,10.0,10.0,R4,R4
YUG_Metro,MUN_Metro,metro,intra,Blue_Line,1.266303265513434,4.2793458779241815,5.135215053509017,10.0,10.0,R4,R3
MUN_Metro,YUG_Metro,metro,intra,Blue_Line,1.266303265513434,4.2793458779241815,5.135215053509017,10.0,10.0,R4,R3
MUN_Metro,AME_Metro,metro,intra,Blue_Line,0.6196821449557892,3.1154278609204207,3.738513433104505,10.0,10.0,R3,R3
AME_Metro,MUN_Metro,metro,intra,Blue_Line,0.6196821449557892,3.1154278609204207,3.738513433104505,10.0,10.0,R3,R3
AME_Metro,BEG_Metro,metro,intra,Blue_Line,1.3041931367044848,4.347547646068072,5.217057175281687,10.0,10.0,R3,R3
BEG_Metro,AME_Metro,metro,intra,Blue_Line,1.3041931367044848,4.347547646068072,5.217057175281687,10.0,10.0,R3,R3
BEG_Metro,PRN_Metro,metro,intra,Blue_Line,1.2500405085131685,4.250072915323703,5.100087498388443,10.0,10.0,R3,R3
PRN_Metro,BEG_Metro,metro,intra,Blue_Line,1.2500405085131685,4.250072915323703,5.100087498388443,10.0,10.0,R3,R3
PRN_Metro,ROP_Metro,metro,intra,Blue_Line,1.12606232566644,4.026912186199592,4.83229462343951,10.0,10.0,R3,R3
ROP_Metro,PRN_Metro,metro,intra,Blue_Line,1.12606232566644,4.026912186199592,4.83229462343951,10.0,10.0,R3,R3
ROP_Metro,PAR_Metro,metro,intra,Blue_Line,1.043785363043767,3.878813653478781,4.848517066848475,10.0,10.0,R3,R1
PAR_Metro,ROP_Metro,metro,intra,Blue_Line,1.043785363043767,3.878813653478781,4.848517066848475,10.0,10.0,R3,R1
PAR_Metro,PRG_Metro,metro,intra,Blue_Line,1.191160966402988,4.144089739525379,5.387316661382993,10.0,10.0,R1,R1
PRG_Metro,PAR_Metro,metro,intra,Blue_Line,1.191160966402988,4.144089739525379,5.387316661382993,10.0,10.0,R1,R1
PRG_Metro,SEC_E_Metro,metro,intra,Blue_Line,1.1874843109891062,4.137471759780391,5.3787132877145085,10.0,10.0,R1,R1
SEC_E_Metro,PRG_Metro,metro,intra,Blue_Line,1.1874843109891062,4.137471759780391,5.3787132877145085,10.0,10.0,R1,R1
SEC_E_Metro,MET_Metro,metro,intra,Blue_Line,1.4973635775716032,4.6952544396288864,6.103830771517552,10.0,10.0,R1,R1
